Hidden function; Output function; Eta;	Hidden nodes; Mean Accuracy; C,E, Standard deviation
tanH; identity; 0,1000; 250; 73,97; 354,50
tanH; identity; 0,0500; 250; 81,30; 292,05
tanH; identity; 0,0100; 250; 87,97; 188,13
tanH; identity; 0,0010; 250; 80,70; 212,31
tanH; identity; 0,1000; 500; 72,93; 343,99
tanH; identity; 0,0500; 500; 76,07; 293,32
tanH; identity; 0,0100; 500; 88,03; 213,45
tanH; identity; 0,0010; 500; 81,73; 208,74
tanH; identity; 0,1000; 800; 67,83; 558,75
tanH; identity; 0,0500; 800; 77,47; 262,62
tanH; identity; 0,0100; 800; 88,00; 184,58
tanH; identity; 0,0010; 800; 82,77; 230,50
sigmoid; identity; 0,1000; 250; 87,63; 162,42
sigmoid; identity; 0,0500; 250; 87,77; 156,04
sigmoid; identity; 0,0100; 250; 83,57; 188,65
sigmoid; identity; 0,0010; 250; 50,30; 5328,10
sigmoid; identity; 0,1000; 500; 87,43; 156,84
sigmoid; identity; 0,0500; 500; 87,37; 175,45
sigmoid; identity; 0,0100; 500; 82,87; 205,36
sigmoid; identity; 0,0010; 500; 46,20; 3739,05
sigmoid; identity; 0,1000; 800; 87,30; 140,26
sigmoid; identity; 0,0500; 800; 87,00; 197,80
sigmoid; identity; 0,0100; 800; 81,43; 235,46
sigmoid; identity; 0,0010; 800; 40,53; 3540,32
tanH; ReLU; 0,1000; 250; 70,93; 316,30
tanH; ReLU; 0,0500; 250; 81,83; 230,15
tanH; ReLU; 0,0100; 250; 87,90; 201,16
tanH; ReLU; 0,0010; 250; 80,73; 276,25
tanH; ReLU; 0,1000; 500; 72,80; 361,63
tanH; ReLU; 0,0500; 500; 77,93; 175,86
tanH; ReLU; 0,0100; 500; 88,37; 182,55
tanH; ReLU; 0,0010; 500; 82,07; 152,88
tanH; ReLU; 0,1000; 800; 69,70; 506,75
tanH; ReLU; 0,0500; 800; 76,70; 453,95
tanH; ReLU; 0,0100; 800; 87,70; 192,70
tanH; ReLU; 0,0010; 800; 82,50; 247,92
sigmoid; ReLU; 0,1000; 250; 87,60; 133,53
sigmoid; ReLU; 0,0500; 250; 87,53; 156,83
sigmoid; ReLU; 0,0100; 250; 83,57; 161,16
sigmoid; ReLU; 0,0010; 250; 50,70; 2831,33
sigmoid; ReLU; 0,1000; 500; 87,00; 151,33
sigmoid; ReLU; 0,0500; 500; 87,30; 206,85
sigmoid; ReLU; 0,0100; 500; 83,10; 184,79
sigmoid; ReLU; 0,0010; 500; 44,73; 5204,88
sigmoid; ReLU; 0,1000; 800; 87,50; 172,11
sigmoid; ReLU; 0,0500; 800; 86,93; 220,77
sigmoid; ReLU; 0,0100; 800; 81,67; 202,90
sigmoid; ReLU; 0,0010; 800; 41,30; 1721,95
Best params: sigmoid; ReLU; 0,1000; 250; 87,60; 133,53
Execution time: 11462 seconds
