Hidden function; Output function; Eta;	Hidden nodes; Mean Accuracy; C.E. Standard deviation
tanH; identity; 0.1000; 250; 56.33; 154.71
tanH; identity; 0.0500; 250; 75.33; 53.40
tanH; identity; 0.0100; 250; 79.33; 69.34
tanH; identity; 0.0050; 250; 72.67; 81.60
tanH; identity; 0.0010; 250; 42.67; 294.74
tanH; identity; 0.1000; 500; 61.67; 155.75
tanH; identity; 0.0500; 500; 75.67; 65.10
tanH; identity; 0.0100; 500; 79.00; 67.87
tanH; identity; 0.0050; 500; 77.00; 82.84
tanH; identity; 0.0010; 500; 55.67; 242.82
tanH; identity; 0.1000; 800; 52.67; 200.61
tanH; identity; 0.0500; 800; 71.00; 92.84
tanH; identity; 0.0100; 800; 80.67; 42.93
tanH; identity; 0.0050; 800; 76.33; 76.95
tanH; identity; 0.0010; 800; 55.67; 243.45
sigmoid; identity; 0.1000; 250; 71.33; 61.31
sigmoid; identity; 0.0500; 250; 61.67; 81.96
sigmoid; identity; 0.0100; 250; 25.00; 117.54
sigmoid; identity; 0.0050; 250; 17.67; 431.41
sigmoid; identity; 0.0010; 250; 15.67; 682.97
sigmoid; identity; 0.1000; 500; 66.33; 48.88
sigmoid; identity; 0.0500; 500; 59.00; 117.09
sigmoid; identity; 0.0100; 500; 34.33; 236.98
sigmoid; identity; 0.0050; 500; 14.33; 371.43
sigmoid; identity; 0.0010; 500; 16.67; 533.77
sigmoid; identity; 0.1000; 800; 65.00; 91.97
sigmoid; identity; 0.0500; 800; 55.67; 98.74
sigmoid; identity; 0.0100; 800; 28.67; 200.41
sigmoid; identity; 0.0050; 800; 19.00; 420.20
sigmoid; identity; 0.0010; 800; 10.33; 631.80
tanH; ReLU; 0.1000; 250; 51.67; 157.64
tanH; ReLU; 0.0500; 250; 75.00; 63.41
tanH; ReLU; 0.0100; 250; 76.33; 45.12
tanH; ReLU; 0.0050; 250; 73.33; 100.04
tanH; ReLU; 0.0010; 250; 41.67; 209.82
tanH; ReLU; 0.1000; 500; 51.67; 148.42
tanH; ReLU; 0.0500; 500; 74.00; 69.69
tanH; ReLU; 0.0100; 500; 79.67; 45.22
tanH; ReLU; 0.0050; 500; 77.00; 74.71
tanH; ReLU; 0.0010; 500; 53.33; 165.87
tanH; ReLU; 0.1000; 800; 47.67; 184.68
tanH; ReLU; 0.0500; 800; 72.00; 108.97
tanH; ReLU; 0.0100; 800; 81.67; 45.24
tanH; ReLU; 0.0050; 800; 79.33; 77.77
tanH; ReLU; 0.0010; 800; 54.00; 196.33
sigmoid; ReLU; 0.1000; 250; 71.00; 62.25
sigmoid; ReLU; 0.0500; 250; 62.33; 89.58
sigmoid; ReLU; 0.0100; 250; 26.00; 260.86
sigmoid; ReLU; 0.0050; 250; 18.67; 392.54
sigmoid; ReLU; 0.0010; 250; 13.67; 636.49
sigmoid; ReLU; 0.1000; 500; 67.67; 61.13
sigmoid; ReLU; 0.0500; 500; 59.00; 95.04
sigmoid; ReLU; 0.0100; 500; 34.00; 270.86
sigmoid; ReLU; 0.0050; 500; 14.33; 218.93
sigmoid; ReLU; 0.0010; 500; 17.00; 514.39
sigmoid; ReLU; 0.1000; 800; 65.00; 71.61
sigmoid; ReLU; 0.0500; 800; 56.67; 135.72
sigmoid; ReLU; 0.0100; 800; 28.67; 174.95
sigmoid; ReLU; 0.0050; 800; 19.00; 307.99
sigmoid; ReLU; 0.0010; 800; 13.00; 783.82
Best params: tanH; identity; 0.0100; 800; 80.67; 42.93
Execution time: 1151 seconds
>> 
