Hidden function-Output function; Eta; Hidden nodes; Mean Accuracy; Mean error; Std Acc; Std Error
tanH-identity; 0,10000; 250; 11,19; -320,00; 1,77; 0,00
tanH-identity; 0,01000; 250; 91,97; 130,07; 1,89; 49,34
tanH-identity; 0,00100; 250; 90,69; 106,73; 1,65; 27,96
tanH-identity; 0,00010; 250; 88,09; 139,76; 2,06; 18,30
tanH-identity; 0,10000; 500; 11,19; -320,00; 1,77; 0,00
tanH-identity; 0,01000; 500; 91,56; 153,54; 1,47; 54,90
tanH-identity; 0,00100; 500; 90,16; 114,43; 1,81; 30,95
tanH-identity; 0,00010; 500; 88,28; 135,90; 1,78; 17,61
tanH-identity; 0,10000; 800; 11,19; -320,00; 1,77; 0,00
tanH-identity; 0,01000; 800; 90,47; 181,27; 1,91; 62,88
tanH-identity; 0,00100; 800; 89,47; 121,73; 2,23; 31,50
tanH-identity; 0,00010; 800; 87,97; 133,14; 1,86; 16,94
sigmoid-identity; 0,10000; 250; 91,28; 135,43; 2,23; 41,70
sigmoid-identity; 0,01000; 250; 90,94; 117,62; 1,98; 37,18
sigmoid-identity; 0,00100; 250; 88,94; 118,34; 1,98; 20,57
sigmoid-identity; 0,00010; 250; 80,00; 332,68; 1,89; 11,86
sigmoid-identity; 0,10000; 500; 90,38; 155,81; 1,80; 39,18
sigmoid-identity; 0,01000; 500; 90,16; 128,45; 2,38; 42,28
sigmoid-identity; 0,00100; 500; 89,16; 118,44; 1,86; 21,05
sigmoid-identity; 0,00010; 500; 80,25; 315,59; 1,87; 14,27
sigmoid-identity; 0,10000; 800; 88,72; 188,75; 2,20; 58,19
sigmoid-identity; 0,01000; 800; 90,00; 132,68; 2,18; 43,31
sigmoid-identity; 0,00100; 800; 89,28; 118,82; 2,08; 21,74
sigmoid-identity; 0,00010; 800; 80,53; 307,98; 1,96; 14,59
tanH-ReLU; 0,10000; 250; 11,19; -320,00; 1,77; 0,00
tanH-ReLU; 0,01000; 250; 92,09; 130,99; 1,66; 47,25
tanH-ReLU; 0,00100; 250; 90,75; 105,85; 1,85; 28,62
tanH-ReLU; 0,00010; 250; 87,56; 140,30; 1,51; 17,11
tanH-ReLU; 0,10000; 500; 11,19; -320,00; 1,77; 0,00
tanH-ReLU; 0,01000; 500; 90,91; 156,02; 1,73; 58,51
tanH-ReLU; 0,00100; 500; 90,16; 115,31; 2,21; 30,85
tanH-ReLU; 0,00010; 500; 88,28; 136,55; 1,71; 17,33
tanH-ReLU; 0,10000; 800; 11,19; -320,00; 1,77; 0,00
tanH-ReLU; 0,01000; 800; 90,44; 182,21; 1,92; 63,06
tanH-ReLU; 0,00100; 800; 89,75; 121,18; 2,09; 32,90
tanH-ReLU; 0,00010; 800; 88,31; 134,57; 1,80; 19,25
sigmoid-sigmoid; 0,10000; 250; 91,38; 497,00; 1,84; 5,57
sigmoid-sigmoid; 0,01000; 250; 89,03; 506,56; 2,19; 5,91
sigmoid-sigmoid; 0,00100; 250; 83,00; 557,03; 2,21; 4,58
sigmoid-sigmoid; 0,00010; 250; 57,16; 702,61; 3,53; 1,78
sigmoid-sigmoid; 0,10000; 500; 90,97; 498,62; 1,93; 5,65
sigmoid-sigmoid; 0,01000; 500; 88,41; 508,20; 2,88; 6,40
sigmoid-sigmoid; 0,00100; 500; 83,25; 554,64; 1,78; 4,81
sigmoid-sigmoid; 0,00010; 500; 60,16; 699,99; 2,91; 3,01
sigmoid-sigmoid; 0,10000; 800; 25,97; 589,51; 9,80; 66,98
sigmoid-sigmoid; 0,01000; 800; 88,03; 509,42; 2,78; 6,67
sigmoid-sigmoid; 0,00100; 800; 83,50; 553,31; 2,08; 4,93
sigmoid-sigmoid; 0,00010; 800; 60,22; 698,95; 3,14; 2,05

Best Accuracy: tanH-ReLU; 0,01000; 250; 92,09; 130,99; 1,66; 47,25

Best Error: tanH-ReLU; 0,00100; 250; 90,75; 105,85; 1,85; 28,62

Execution time: 472 minutes
>> 
